Year,Awards,Title,Artist
1992,Best Country Performance By A Duo Or Group With Vocal,Emmylou Harris & The Nash Ramblers At The Ryman,Emmylou Harris
1992,Best Country Vocal Collaboration,The Whiskey Ain't Workin',Marty Stuart
1992,Best Country Instrumental Performance,Sneakin' Around,Chet Atkins
1992,Best Country Song,I Still Believe In You,John Jarvis
1992,Best Instrumental Composition,Harlem Renaissance Suite,Benny Carter
1992,Best Instrumental Composition Written For A Motion Picture Or For Television,Beauty And The Beast,Alan Menken
1992,Best Song Written Specifically For A Motion Picture Or For Television,Beauty And The Beast (From Beauty And The Beast),Alan Menken
1992,Best Arrangement On An Instrumental,Strike Up The Band,Rob McConnell
1992,Best Instrumental Arrangement Accompanying Vocal(s),Here's To Life,Johnny Mandel
1992,Best Orchestral Performance,Mahler: Symphony No. 9,Leonard Bernstein
1992,Best Opera Recording,R. Strauss: Die Frau Ohne Schatten,Hildegard Behrens
1992,Best Performance Of A Choral Work,Orff: Carmina Burana,Vance George
1992,Best Classical Performance - Instrumental Solo With Orchestra,Prokofiev: Sinfonia Concertante/Tchaikovsky: Variations On A Rococo Theme,Yo-Yo Ma
1992,Best Classical Performance - Instrumental Solo Without Orchestra,"Horowitz - Discovered Treasures (Chopin, Liszt, Scarlatti, Scriabin, Clementi)",Vladimir Horowitz
1992,Best Chamber Music Performance,Brahms: Sonatas For Cello & Piano,Emanuel Ax
1992,Best Classical Vocal Performance,"Kathleen Battle At Carnegie Hall (Handel, Mozart, Liszt, Strauss, etc.)",Kathleen Battle
1992,Best Contemporary Composition,Barber: The Lovers,Samuel Barber
1992,"Best Engineered Recording, Classical",R. Strauss: Die Frau Ohne Schatten,James Lock
1991,Record Of The Year,Unforgettable,Natalie Cole
1991,Song Of The Year,Unforgettable,Irving Gordon
1991,"Best Pop Vocal Performance, Female",Something To Talk About,Bonnie Raitt
1991,"Best Pop Vocal Performance, Male",When A Man Loves A Woman,Michael Bolton
1991,Best Pop Performance By A Duo Or Group With Vocal,Losing My Religion,R.E.M.
1991,Best Traditional Pop Performance,Unforgettable,Natalie Cole
1991,Best Pop Instrumental Performance,Robin Hood - Prince Of Thieves,Michael Kamen
1991,"Best Rock Vocal Performance, Solo",Luck Of The Draw,Bonnie Raitt
1991,Best Rock Performance By A Duo Or Group With Vocal,"Good Man, Good Woman",Bonnie Raitt
1991,Best Hard Rock Performance With Vocal,For Unlawful Carnal Knowledge,Van Halen
1991,Best Metal Performance,Metallica,Metallica
1991,Best Rock Instrumental Performance,Cliffs Of Dover,Eric Johnson
1991,Best Rock Song,Soul Cages,Sting
1991,"Best R&B Vocal Performance, Female",How Can I Ease The Pain,Lisa Fischer
1991,"Best R&B Vocal Performance, Female",Burnin',Patti LaBelle
1991,"Best R&B Vocal Performance, Male",Power Of Love,Luther Vandross
1991,Best R&B Performance By A Duo Or Group With Vocal,Cooleyhighharmony,Boyz II Men
1991,Best Rhythm & Blues Song,Power Of Love/Love Power,Luther Vandross
1991,Best Rap Solo Performance,Mama Said Knock You Out,LL Cool J
1991,Best Rap Performance By A Duo Or Group,Summertime,D.J. Jazzy Jeff And The Fresh Prince
1991,Best Contemporary Jazz Performance,Sassy,Manhattan Transfer
1991,Best Jazz Vocal Performance,He Is Christmas,Take 6
1991,Best Jazz Instrumental Solo,I Remember You,Stan Getz
1991,"Best Jazz Instrumental Performance, Group",Saturday Night At The Blue Note,Oscar Peterson Trio
1991,Best Large Jazz Ensemble Performance,Live At The Royal Festival Hall,Dizzy Gillespie
1991,"Best Country Vocal Performance, Female",Down At The Twist And Shout,Mary Chapin Carpenter
1991,"Best Country Vocal Performance, Male",Ropin' The Wind,Garth Brooks
1991,Best Country Performance By A Duo Or Group With Vocal,Love Can Build A Bridge,Judds
1991,Best Country Vocal Collaboration,Restless,Ricky Skaggs
1991,Best Country Instrumental Performance,The New Nashville Cats,Mark O'Connor
1991,Best Country Song,Love Can Build A Bridge,John Jarvis
1991,Best Instrumental Composition,Basque,Elton John
1991,Best Instrumental Composition Written For A Motion Picture Or For Television,Dances With Wolves,John Barry
1991,Best Song Written Specifically For A Motion Picture Or For Television,(Everything I Do) I Do It For You (From Robin Hood - Prince Of Thieves),Bryan Adams
1991,Best Arrangement On An Instrumental,Medley: Bess You Is My Woman/I Loves You Porgy,Dave Grusin
1991,Best Instrumental Arrangement Accompanying Vocal(s),Unforgettable,Johnny Mandel
1991,Best Orchestral Performance,Corigliano: Symphony No. 1,Daniel Barenboim
1991,Best Opera Recording,Wagner: Gotterdammerung,Bernd Weikl
1991,Best Performance Of A Choral Work,Bach: Mass In B Minor,Margaret Hillis
1991,Best Instrumental Soloist With Orchestra,Barber: Piano Concerto,John Browning
1991,Best Classical Performance Instrumental Solo Without Orchestra,Granados: Goyescas; Allegro De Concierto; Danza Lenta,Alicia De Larrocha
1991,Best Chamber Music Performance,Brahms: Piano Quartets (Op. 25 & 26),Emanuel Ax
1991,Best Classical Vocal Soloist,"The Girl With Orange Lips (Falla, Ravel, etc.)",Dawn Upshaw
1991,Best Contemporary Composition,Corigliano: Symphony No. 1,John Corigliano
1991,"Best Engineered Recording, Classical",Bernstein: Candide,Gregor Zielinsky
1990,Record Of The Year,Another Day In Paradise,Phil Collins
1990,Song Of The Year,From A Distance,Julie Gold
1990,"Best Pop Vocal Performance, Female",Vision Of Love,Mariah Carey
1990,"Best Pop Vocal Performance, Male",Oh Pretty Woman,Roy Orbison
1990,Best Pop Performance By A Duo Or Group With Vocal,All My Life,Aaron Neville
1990,Best Pop Instrumental Performance,Twin Peaks Theme,Angelo Badalamenti
1990,"Best Rock Vocal Performance, Female",Black Velvet,Alannah Myles
1990,"Best Rock Vocal Performance, Male",Bad Love,Eric Clapton
1990,Best Rock Performance By A Duo Or Group With Vocal,Janie's Got A Gun,Aerosmith
1990,Best Rock Instrumental Performance,D/FW,Vaughan Brothers
1990,Best Hard Rock Performance,Time's Up,Living Colour
1990,Best Metal Performance,Stone Cold Crazy,Metallica
1990,Best Alternative Music Performance,I Do Not Want What I Haven't Got,Sinéad O'Connor
1990,"Best R&B Vocal Performance, Female",Compositions,Anita Baker
1990,"Best R&B Vocal Performance, Male",Here And Now,Luther Vandross
1990,Best R&B Performance By A Duo Or Group With Vocal,I'll Be Good To You,Chaka Khan
1990,Best Rhythm & Blues Song,U Can't Touch This,Alonzo Miller
1990,Best Rap Solo Performance,U Can't Touch This,M.C. Hammer
1990,Best Rap Performance By A Duo Or Group,Back On The Block,Big Daddy Kane
1990,Best New Age Performance,Mark Isham,Mark Isham
1990,Best Jazz Fusion Performance,Birdland,Quincy Jones
1990,"Best Jazz Vocal Performance, Female",All That Jazz,Ella Fitzgerald
1990,"Best Jazz Vocal Performance, Male",We Are In Love,Harry Connick Jr.
1990,"Best Jazz Instrumental Performance, Soloist",The Legendary Oscar Peterson Trio Live At The Blue Note,Oscar Peterson
1990,"Best Jazz Instrumental Performance, Group",The Legendary Oscar Peterson Trio Live At The Blue Note,Oscar Peterson Trio
1990,"Best Jazz Instrumental Performance, Big Band",Basie's Bag,Frank Foster
1990,"Best Country Vocal Performance, Female",Where've You Been,Kathy Mattea
1990,"Best Country Vocal Performance, Male",When I Call Your Name,Vince Gill
1990,Best Country Performance By A Duo Or Group With Vocal,Pickin' On Nashville,Kentucky Headhunters
1990,Best Country Vocal Collaboration,Poor Boy Blues,Chet Atkins
1990,Best Country Instrumental Performance,"So Soft, Your Goodbye",Chet Atkins
1990,Best Bluegrass Recording,I've Got That Old Feeling,Alison Krauss
1990,Best Country Song,Where've You Been,Don Henry
1990,Best Traditional Soul Gospel Performance,Tramaine Hawkins Live,Tramaine Hawkins
1990,Best Latin Pop Performance,Por Que Te Tengo Que Olvidar?,Jose Feliciano
1990,Best Tropical Latin Performance,Lambada Timbales,Tito Puente
1990,Best Mexican-American Performance,Soy De San Luis,Texas Tornados
1990,Best Traditional Blues Recording,Live At San Quentin,B.B. King
1990,Best Contemporary Blues Recording,Family Style,Vaughan Brothers
1990,Best Traditional Folk Recording,On Praying Ground,Doc Watson
1990,Best Contemporary Folk Recording,Steady On,Shawn Colvin
1990,Best Reggae Recording,Time Will Tell - A Tribute To Bob Marley,Bunny Wailer
1990,Best Polka Recording,When It's Polka Time At Your House,Jimmy Sturr
1990,Best Recording For Children,The Little Mermaid,Alan Menken
1990,Best Comedy Recording,P.D.Q. Bach: Oedipus Tex And Other Choral Calamities,Peter Schickele
1990,Best Spoken Word Or Non-Musical Recording,Gracie - A Love Story,George Burns
1990,Best Instrumental Composition,Change Of Heart,Pat Metheny
1990,Best Instrumental Composition Written For A Motion Picture Or For Television,Glory,James Horner
1990,Best Song Written Specifically For A Motion Picture Or For Television,Under The Sea (From The Little Mermaid),Alan Menken
1990,Best Arrangement On An Instrumental,Birdland,Ian Prince
1990,Best Instrumental Arrangement Accompanying Vocal(s),The Places You Find Love,Clif Magness
1990,Best Engineered Recording - Non-Classical,Back On The Block,Bruce Swedien
1990,Best Orchestral Performance,Shostakovich: Symphonies Nos. 1 & 7,Leonard Bernstein
1990,Best Opera Recording,Wagner: Das Rheingold,Christa Ludwig
1990,Best Choral Performance (Other Than Opera),Walton: Belshazzar's Feast/Bernstein: Chichester Psalms; Missa Brevis,Robert Shaw
1990,"Best Classical Performance, Instrumental Soloist (With Orchestra)",Shostakovich: Violin Concerto No. 1 In A Minor/Glazunov: Violin Concerto In A Minor,Itzhak Perlman
1990,"Best Classical Performance, Instrumental Soloist (Without Orchestra)",The Last Recording,Vladimir Horowitz
1990,Best Chamber Music Or Other Small Ensemble Performance,Brahms: The Three Violin Sonatas,Daniel Barenboim
1990,Best Classical Vocal Performance,"Carreras, Domingo, Pavarotti In Concert",Jose Carreras
1990,Best Contemporary Composition,Bernstein: Arias & Barcarolles,Leonard Bernstein
1990,Best Engineered Recording - Classical,Rachmaninoff: Vespers,Jack Renner
1989,Record Of The Year,Wind Beneath My Wings,Bette Midler
1989,Song Of The Year,Wind Beneath My Wings,Jeff Silbar
1989,"Best Pop Vocal Performance, Female",Nick Of Time,Bonnie Raitt
1989,"Best Pop Vocal Performance, Male",How Am I Supposed To Live Without You,Michael Bolton
1989,Best Pop Performance By A Duo Or Group With Vocal,Don't Know Much,Aaron Neville
1989,Best Pop Instrumental Performance,Healing Chant,Neville Brothers
1989,"Best Rock Vocal Performance, Female",Nick Of Time,Bonnie Raitt
1989,"Best Rock Vocal Performance, Male",The End Of The Innocence,Don Henley
1989,Best Rock Performance By A Duo Or Group With Vocal,Traveling Wilburys Volume One,Traveling Wilburys
1989,Best Rock Instrumental Performance,Jeff Beck's Guitar Shop with Terry Bozzio & Tony Hymas,Jeff Beck 
1989,Best Hard Rock Performance,Cult Of Personality,Living Colour
1989,Best Metal Performance,One,Metallica
1989,"Best R&B Vocal Performance, Female",Giving You The Best That I Got,Anita Baker
1989,"Best R&B Vocal Performance, Male",Every Little Step,Bobby Brown
1989,Best R&B Performance By A Duo Or Group With Vocal,Back To Life,Caron Wheeler
1989,Best R&B Instrumental Performance,African Dance,Soul II Soul
1989,Best Rhythm & Blues Song,If You Don't Know Me By Now,Kenny Gamble
1989,Best Rap Performance,Bust A Move,Young MC
1989,Best New Age Performance,Passion - Music For The Last Temptation Of Christ,Peter Gabriel
1989,Best Jazz Fusion Performance,Letter From Home,Pat Metheny Group
1989,"Best Jazz Vocal Performance, Female",Blues On Broadway,Ruth Brown
1989,"Best Jazz Vocal Performance, Male",When Harry Met Sally,Harry Connick Jr.
1989,"Best Jazz Vocal Performance, Duo Or Group",Makin' Whoopee,Dr. John
1989,"Best Jazz Instrumental Performance, Soloist (On A Jazz Recording)",Aura,Miles Davis
1989,"Best Jazz Instrumental Performance, Group",Chick Corea Akoustic Band,Chick Corea Akoustic Band
1989,"Best Jazz Instrumental Performance, Big Band",Aura,Miles Davis
1989,"Best Country Vocal Performance, Female",Absolute Torch And Twang,k.d. lang
1989,"Best Country Vocal Performance, Male",Lyle Lovett And His Large Band,Lyle Lovett
1989,Best Country Performance By A Duo Or Group With Vocal,Will The Circle Be Unbroken Vol. 2,Nitty Gritty Dirt Band
1989,Best Country Vocal Collaboration,There's A Tear In My Beer,Hank Williams Jr.
1989,Best Country Instrumental Performance,Amazing Grace,Randy Scruggs
1989,Best Bluegrass Recording,The Valley Road,Bruce Hornsby
1989,Best Country Song,After All This Time,Rodney Crowell
1989,"Best Gospel Vocal Performance, Female",Don't Cry,CeCe Winans
1989,"Best Gospel Vocal Performance, Male",Meantime,BeBe Winans
1989,"Best Gospel Vocal Performance By A Duo, Group, Choir Or Chorus",The Savior Is Waiting,Take 6
1989,"Best Soul Gospel Vocal Performance, Male Or Female",As Long As We're Together,Al Green
1989,"Best Soul Gospel Vocal Performance Duo, Group, Choir Or Chorus",Let Brotherly Love Continue,Daniel Winans
1989,Best Latin Pop Performance,Cielito Lindo,Jose Feliciano
1989,Best Tropical Latin Performance,Ritmo En El Corazon,Celia Cruz
1989,Best Mexican-American Performance,La Pistola y El Corazon,Los Lobos
1989,Best Traditional Blues Recording,I'm In The Mood,Bonnie Raitt
1989,Best Contemporary Blues Recording,In Step,Stevie Ray Vaughan And Double Trouble
1989,Best Traditional Folk Recording,"Le Mystere Des Voix Bulgares, Vol. II",Marcel Cellier
1989,Best Contemporary Folk Recording,Indigo Girls,Indigo Girls
1989,Best Polka Recording,All In My Love For You,Jimmy Sturr
1989,Best Reggae Recording,One Bright Day,Ziggy Marley And The Melody Makers
1989,Best Recording For Children,"The Rock-A-Bye Collection, Vol. 1",Tanya Goodman
1989,Best Comedy Recording,P.D.Q. Bach: 1712 Overture & Other Musical Assaults,Peter Schickele
1989,Best Spoken Word Or Non-Musical Recording,It's Always Something,Gilda Radner
1989,Best Instrumental Composition,The Batman Theme,Danny Elfman
1989,Best Song Written Specifically For A Motion Picture Or Television,Let The River Run (From Working Girl),Carly Simon
1989,Best Arrangement On An Instrumental,Suite From The Milagro Beanfield War,Dave Grusin
1989,Best Instrumental Arrangement Accompanying Vocals,My Funny Valentine,Dave Grusin
1989,Best Engineered Recording - Non-Classical,Cry Like A Rainstorm - Howl Like The Wind,George Massenburg
1989,Best Orchestral Performance,Mahler: Symphony No. 3 In D Minor,Leonard Bernstein
1989,Best Opera Recording,Wagner: Die Walkuere,Christa Ludwig
1989,Best Choral Performance (Other Than Opera),Britten: War Requiem,Robert Shaw
1989,"Best Classical Performance, Instrumental Soloist (With Orchestra)","Barber: Cello Concerto, Op. 22/Britten: Symphony For Cello And Orchestra, Op. 68",Yo-Yo Ma
1989,Best Classical Performance - Instrumental Soloist (Without Orchestra),Bach: English Suites,Andras Schiff
1989,Best Chamber Music Performance,Bartók: 6 String Quartets,Emerson String Quartet
1989,Best Classical Vocal Soloist Performance,"Knoxville - Summer Of 1915 (Music Of Barber, Menotti, Harbison, Stravinsky)",Dawn Upshaw
1989,Best Contemporary Composition,Reich: Different Trains,Steve Reich
1989,Best Engineered Recording - Classical,Britten: War Requiem,Jack Renner
1988,Record Of The Year,Don't Worry Be Happy,Bobby McFerrin
1988,Song Of The Year,Don't Worry Be Happy,Bobby McFerrin
1988,"Best Pop Vocal Performance, Female",Fast Car,Tracy Chapman
1988,"Best Pop Vocal Performance, Male",Don't Worry Be Happy,Bobby McFerrin
1988,Best Pop Performance By A Duo Or Group With Vocal,Brasil,Manhattan Transfer
1988,"Best Pop Instrumental Performance (Orchestra, Group Or Soloist)",Close-up,David Sanborn
1988,"Best Rock Vocal Performance, Female",Tina Live In Europe,Tina Turner
1988,"Best Rock Vocal Performance, Male",Simply Irresistible,Robert Palmer
1988,Best Rock Performance By A Duo Or Group With Vocal,Desire,U2
1988,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",Blues For Salvador,Carlos Santana
1988,Best Hard Rock/Metal Performance Vocal Or Instrumental,Crest Of A Knave,Jethro Tull
1988,"Best R&B Vocal Performance, Female",Giving You The Best That I Got,Anita Baker
1988,"Best R&B Vocal Performance, Male",Introducing The Hardline According To Terence Trent D'arby,Terence Trent D'Arby
1988,Best R&B Performance By A Duo Or Group With Vocal,Love Overboard,Gladys Knight And The Pips
1988,"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",Light Years,Chick Corea
1988,Best Rhythm & Blues Song,Giving You The Best That I Got,Anita Baker
1988,Best Rap Performance,Parents Just Don't Understand,D.J. Jazzy Jeff And The Fresh Prince
